step:57 top1:68.09% nums_selected:1058 selected_percent:70.82% mAP:57.89% label_pre:69.21% select_pre:86.52%
step:58 top1:66.52% nums_selected:1076 selected_percent:72.02% mAP:58.16% label_pre:69.21% select_pre:86.11%
step:59 top1:66.81% nums_selected:1094 selected_percent:73.23% mAP:57.61% label_pre:69.21% select_pre:85.52%
step:60 top1:67.52% nums_selected:1112 selected_percent:74.43% mAP:58.13% label_pre:69.75% select_pre:85.31%
step:61 top1:67.38% nums_selected:1130 selected_percent:75.64% mAP:58.50% label_pre:69.14% select_pre:84.23%
step:62 top1:67.66% nums_selected:1148 selected_percent:76.84% mAP:57.12% label_pre:68.61% select_pre:83.36%
step:63 top1:67.66% nums_selected:1166 selected_percent:78.05% mAP:58.95% label_pre:69.48% select_pre:82.85%
step:64 top1:66.52% nums_selected:1184 selected_percent:79.25% mAP:57.13% label_pre:69.48% select_pre:81.95%
step:65 top1:70.09% nums_selected:1202 selected_percent:80.46% mAP:60.50% label_pre:69.81% select_pre:81.48%
step:66 top1:68.80% nums_selected:1220 selected_percent:81.66% mAP:59.21% label_pre:70.08% select_pre:81.26%
step:67 top1:69.37% nums_selected:1238 selected_percent:82.86% mAP:59.34% label_pre:69.81% select_pre:80.41%
step:68 top1:67.81% nums_selected:1256 selected_percent:84.07% mAP:57.76% label_pre:69.75% select_pre:79.67%
step:69 top1:67.52% nums_selected:1274 selected_percent:85.27% mAP:58.18% label_pre:70.48% select_pre:79.10%
step:70 top1:69.66% nums_selected:1292 selected_percent:86.48% mAP:60.52% label_pre:70.55% select_pre:78.40%
step:71 top1:67.81% nums_selected:1310 selected_percent:87.68% mAP:58.33% label_pre:70.35% select_pre:77.48%
step:72 top1:67.24% nums_selected:1328 selected_percent:88.89% mAP:58.03% label_pre:70.28% select_pre:76.52%
step:73 top1:68.23% nums_selected:1346 selected_percent:90.09% mAP:59.06% label_pre:70.35% select_pre:76.03%
step:74 top1:67.95% nums_selected:1364 selected_percent:91.30% mAP:58.61% label_pre:70.21% select_pre:75.18%
step:75 top1:69.66% nums_selected:1382 selected_percent:92.50% mAP:59.07% label_pre:70.35% select_pre:74.43%
step:76 top1:68.66% nums_selected:1400 selected_percent:93.71% mAP:59.30% label_pre:70.55% select_pre:73.84%
step:77 top1:68.09% nums_selected:1418 selected_percent:94.91% mAP:58.60% label_pre:70.62% select_pre:73.05%
step:78 top1:69.37% nums_selected:1436 selected_percent:96.12% mAP:60.01% label_pre:70.55% select_pre:72.28%
step:79 top1:67.81% nums_selected:1454 selected_percent:97.32% mAP:58.93% label_pre:70.68% select_pre:71.67%
step:80 top1:66.67% nums_selected:1472 selected_percent:98.53% mAP:57.68% label_pre:70.75% select_pre:70.87%
step:81 top1:66.95% nums_selected:1490 selected_percent:99.73% mAP:58.48% label_pre:70.62% select_pre:70.62%
step:82 top1:67.81% nums_selected:1494 selected_percent:100.00% mAP:57.72% label_pre:70.55% select_pre:70.55%

